2025-10-06 22:01:35 | Device: Temp_Sensor_1 | Temperature: 36.3°C
2025-10-06 22:03:59 | Device: Temp_Sensor_1 | Temperature: 37.6°C
2025-10-06 22:04:02 | Device: Temp_Sensor_2 | Temperature: 38.0°C
2025-10-06 22:04:05 | Device: Temp_Sensor_1 | Temperature: 38.0°C
2025-10-06 22:04:08 | Device: Temp_Sensor_2 | Temperature: 36.0°C
2025-10-06 22:04:11 | Device: Temp_Sensor_1 | Temperature: 38.3°C
2025-10-06 22:04:14 | Device: Temp_Sensor_2 | Temperature: 38.4°C
2025-10-06 22:04:17 | Device: Temp_Sensor_1 | Temperature: 38.4°C
2025-10-06 22:04:21 | Device: Temp_Sensor_2 | Temperature: 38.4°C
2025-10-06 22:04:24 | Device: Temp_Sensor_1 | Temperature: 38.0°C
2025-10-06 22:04:27 | Device: Temp_Sensor_2 | Temperature: 38.2°C
2025-10-06 22:04:30 | Device: Temp_Sensor_1 | Temperature: 37.8°C
2025-10-06 22:04:33 | Device: Temp_Sensor_2 | Temperature: 37.9°C
2025-10-06 22:04:36 | Device: Temp_Sensor_1 | Temperature: 37.6°C
2025-10-06 22:04:39 | Device: Temp_Sensor_2 | Temperature: 37.8°C
2025-10-06 22:04:42 | Device: Temp_Sensor_1 | Temperature: 37.0°C
2025-10-06 22:04:45 | Device: Temp_Sensor_2 | Temperature: 38.3°C
2025-10-06 22:04:48 | Device: Temp_Sensor_1 | Temperature: 36.3°C
2025-10-06 22:04:51 | Device: Temp_Sensor_2 | Temperature: 36.1°C
2025-10-06 22:04:54 | Device: Temp_Sensor_1 | Temperature: 36.9°C
2025-10-06 22:04:57 | Device: Temp_Sensor_2 | Temperature: 36.9°C
2025-10-06 22:05:00 | Device: Temp_Sensor_1 | Temperature: 37.0°C
2025-10-06 22:05:03 | Device: Temp_Sensor_2 | Temperature: 37.9°C
2025-10-06 22:05:06 | Device: Temp_Sensor_1 | Temperature: 37.3°C
2025-10-06 22:05:09 | Device: Temp_Sensor_2 | Temperature: 38.2°C
2025-10-06 22:05:12 | Device: Temp_Sensor_1 | Temperature: 37.9°C
2025-10-06 22:05:15 | Device: Temp_Sensor_2 | Temperature: 37.3°C
2025-10-06 22:05:18 | Device: Temp_Sensor_1 | Temperature: 37.1°C
2025-10-06 22:05:21 | Device: Temp_Sensor_2 | Temperature: 36.9°C
2025-10-06 22:05:24 | Device: Temp_Sensor_1 | Temperature: 37.5°C
2025-10-06 22:05:27 | Device: Temp_Sensor_2 | Temperature: 36.0°C
2025-10-06 22:05:30 | Device: Temp_Sensor_1 | Temperature: 37.5°C
2025-10-06 22:05:33 | Device: Temp_Sensor_2 | Temperature: 37.0°C
2025-10-06 22:05:36 | Device: Temp_Sensor_1 | Temperature: 37.5°C
2025-10-06 22:05:39 | Device: Temp_Sensor_2 | Temperature: 37.4°C
2025-10-06 22:05:42 | Device: Temp_Sensor_1 | Temperature: 38.5°C
2025-10-06 22:05:45 | Device: Temp_Sensor_2 | Temperature: 38.1°C
2025-10-06 22:05:48 | Device: Temp_Sensor_1 | Temperature: 37.9°C
2025-10-06 22:05:51 | Device: Temp_Sensor_2 | Temperature: 36.4°C
2025-10-06 22:05:54 | Device: Temp_Sensor_1 | Temperature: 37.1°C
2025-10-06 22:05:57 | Device: Temp_Sensor_2 | Temperature: 36.4°C
2025-10-06 22:06:00 | Device: Temp_Sensor_1 | Temperature: 37.0°C
2025-10-06 22:06:03 | Device: Temp_Sensor_2 | Temperature: 36.9°C
2025-10-06 22:06:06 | Device: Temp_Sensor_1 | Temperature: 36.9°C
2025-10-06 22:06:09 | Device: Temp_Sensor_2 | Temperature: 38.4°C
2025-10-06 22:06:12 | Device: Temp_Sensor_1 | Temperature: 37.6°C
2025-10-06 22:06:15 | Device: Temp_Sensor_2 | Temperature: 37.9°C
2025-10-06 22:06:18 | Device: Temp_Sensor_1 | Temperature: 36.4°C
2025-10-06 22:06:21 | Device: Temp_Sensor_2 | Temperature: 36.7°C
2025-10-06 22:06:24 | Device: Temp_Sensor_1 | Temperature: 36.5°C
2025-10-06 22:06:27 | Device: Temp_Sensor_2 | Temperature: 37.1°C
2025-10-06 22:06:30 | Device: Temp_Sensor_1 | Temperature: 38.3°C
2025-10-06 22:06:33 | Device: Temp_Sensor_2 | Temperature: 37.0°C
2025-10-06 22:06:36 | Device: Temp_Sensor_1 | Temperature: 37.8°C
2025-10-06 22:06:39 | Device: Temp_Sensor_2 | Temperature: 37.2°C
2025-10-06 22:06:42 | Device: Temp_Sensor_1 | Temperature: 38.0°C
2025-10-06 22:06:45 | Device: Temp_Sensor_2 | Temperature: 37.5°C
2025-10-06 22:06:48 | Device: Temp_Sensor_1 | Temperature: 36.6°C
2025-10-06 22:06:51 | Device: Temp_Sensor_2 | Temperature: 36.3°C
2025-10-06 22:06:54 | Device: Temp_Sensor_1 | Temperature: 36.9°C
